pac_id,id,name,total,pacs,individuals,release_date,traitor_id,traitor_name,traitor_state,traitor_chamber
         ,D000035759,McWane Inc,38700,0,38700,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00144774,D000000168,Southern Co,24309,20000,4309,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000021923,Collazo Enterprises,22400,0,22400,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00109017,D000000076,AT&T Inc,20000,20000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00303024,D000000104,Lockheed Martin,20000,20000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00088591,D000000170,Northrop Grumman,20000,20000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00097568,D000072615,Raytheon Technologies,20000,20000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00300418,D000067120,SAIC,20000,20000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00546234,D000000369,Leidos Inc,18800,18000,800,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00142299,D000000371,Jacobs Engineering Group,17500,17500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00094573,D000000582,Alabama Farmers Federation,15000,15000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C30002851,D000000087,American Bankers Assn,15000,15000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00457242,          ,Blue Cross/Blue Shield of Alabama,15000,15000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00248716,D000000461,Comcast Corp,15000,15000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00211318,D000000131,Deloitte LLP,15000,15000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00215285,D000000317,General Atomics,15000,15000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00272724,D000027470,"Maynard, Cooper & Gale",13200,10000,3200,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00089136,D000000067,Altria Group,12500,12500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00432252,D000022216,Regions Financial,11500,11500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000033145,Dese Research,11200,0,11200,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00358440,D000021862,Balch & Bingham,11000,10000,1000,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00078451,D000000165,General Dynamics,11000,11000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00367995,D000029049,Sierra Nevada Corp,10600,5000,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00142711,D000000100,Boeing Co,10250,10000,250,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00391086,          ,Allergan Inc,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00110338,D000000219,American Crystal Sugar,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00365502,D000022588,BWX Technologies,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00151787,D000021944,Cubic Corp,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00428052,D000027353,Majority Cmte PAC,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00126763,D000000240,National Assn of Convenience Stores,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C70002563,D000000062,National Assn of Realtors,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00040998,D000000080,National Auto Dealers Assn,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00028787,D000000252,National Cattlemen's Beef Assn,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00034272,D000000568,National Chicken Council,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00002972,D000000153,National Rural Electric Cooperative Assn,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00372979,D000028509,Radiance Technologies,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00116020,D000029725,Vulcan Materials,10000,10000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00744425,D000055335,PeopleTec Inc,9850,2800,7050,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00160630,D000025591,Drummond Co,8760,8000,760,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00400424,D000029489,Torch Technologies,8659,7700,959,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C90020850,D000000431,National Cotton Council,8500,8500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Trideum Corp,8400,0,8400,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00039578,D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00193631,D000000359,Farm Credit Council,7500,7500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00167460,D000000301,Globe Life,7500,7500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00427781,D000028151,Online Lenders Alliance,7500,7500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00161414,          ,Protective Life Corp,7500,7500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00186288,D000000079,Verizon Communications,7500,7500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000037186,Rocky Research,7155,0,7155,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00557793,D000069501,Blue Origin,7000,7000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00075341,D000000355,Motorola Solutions,7000,7000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Red Diamond,6600,0,6600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
