name,total_contributions
American Bankers Assn,1214903
National Assn of Realtors,1073620
Majority Cmte PAC,1060000
House Freedom Fund,1052229
AT&T Inc,978173
Comcast Corp,974333
Club for Growth,918502
Koch Industries,835815
Lockheed Martin,731841
National Auto Dealers Assn,728500
Raytheon Technologies,664263
Northrop Grumman,661720
National Beer Wholesalers Assn,636000
Boeing Co,618153
Home Depot,593808
Senate Conservatives Fund,553855
American Crystal Sugar,530000
United Parcel Service,506427
Blue Cross/Blue Shield,488197
National Assn of Home Builders,479500
Credit Union National Assn,472525
Eye of the Tiger PAC,466500
Ernst & Young,464810
Council of Insurance Agents & Brokers,424500
Deloitte LLP,423361
Honeywell International,420192
Charter Communications,401193
National Rural Electric Cooperative Assn,401000
Berkshire Hathaway,390790
American Society of Anesthesiologists,390100
Huck PAC,390000
American Dental Assn,359467
National Air Traffic Controllers Assn,355500
Marathon Petroleum,349747
L3Harris Technologies,347416
General Dynamics,343933
Altria Group,332308
PricewaterhouseCoopers,322416
Bank of America,321218
Station Casinos,320185
American Institute of CPAs,304000
Blackstone Group,302174
FedEx Corp,299033
Delta Air Lines,292070
Western National Group,291879
New York Life Insurance,290015
Exxon Mobil,287434
UBS Americas,269000
Votesane PAC,268900
Scalise for Congress,268000
UnitedHealth Group,266682
Valero Energy,263424
American Assn of Orthopaedic Surgeons,252150
Farm Credit Council,246000
Union Pacific Corp,245346
Wells Fargo,244563
Chevron Corp,243331
General Motors,242222
Independent Insurance Agents & Brokers of America,239500
Massachusetts Mutual Life Insurance,238576
Leidos Inc,238418
National Electrical Contractors Assn,235000
"National Stone, Sand & Gravel Assn",234000
Charles Schwab Corp,228279
Investment Co Institute,228250
Marcus Foundation,224368
American Optometric Assn,217599
KPMG LLP,217550
Amazon.com,216567
Southern Co,215334
National Assn of Insurance & Financial Advisors,210000
Williams Companies,209850
National Multifamily Housing Council,205623
Pro-israel America PAC,201088
General Atomics,197555
Republican Jewish Coalition,197118
Pfizer Inc,196593
Morgan Stanley,196198
Cox Enterprises,195532
Amgen Inc,194037
Verizon Communications,191133
Bk2 Holdings,187600
American Hotel & Lodging Assn,187500
Rock Holdings,187400
National Apartment Assn,185000
Huntington Ingalls Industries,182458
Associated Builders & Contractors,179000
National Cotton Council,178775
Automotive Free International Trade PAC,178500
NCTA The Internet & Television Assn,177500
USAA,176152
Truist Financial,176125
Air Line Pilots Assn,176000
McDonald's Corp,175407
AFLAC Inc,175330
Energy Transfer Partners,174758
National Assn of Convenience Stores,174000
NextEra Energy,172010
National Assn of Real Estate Investment Trusts,171500
Innovation PAC,171500
Clearpath Foundation,170100
GEO Group,169911
American Council of Engineering Cos,166700
Goldman Sachs,165300
Wine & Spirits Wholesalers of America,162427
American College of Radiology,161000
National Cattlemen's Beef Assn,160750
Herzog Contracting,160300
National Assn of Broadcasters,157585
American Academy of Dermatology Assn,154500
BAE Systems,154129
Toyota Motor North America,152999
Operating Engineers Union,151111
Regions Financial,147350
Ryan LLC,145766
Deere & Co,145756
Kirkland & Ellis,145178
American Academy of Ophthalmology,144500
Lowe's Companies,144020
Woodforest Financial Group,143801
Laborers Union,143115
Cerberus Capital Management,142891
The Villages,142150
Cigna Corp,140819
FirstEnergy Corp,138225
American College of Emergency Physicians,137750
Carpenters & Joiners Union,136750
San Francisco Giants,136000
Mountaire Corp,136000
Mortgage Bankers Assn,136000
NorPAC,135970
Norfolk Southern,135000
Seafarers International Union,134750
T-Mobile USA,134532
BGR Group,134068
Nucor Corp,133270
General Electric,133105
CMR PAC,131500
American Resort Development Assn,130000
Duke Energy,128932
National Assn of Mutual Insurance Companies,128000
Experian,124900
Ariel Corp,124212
CGCN Group,122100
CVS Health,119412
Google Inc,118075
Diamond Pet Foods,117700
Uline Inc,114825
Greenberg Traurig LLP,114418
Sierra Nevada Corp,114410
Crow Holdings,114200
American Physical Therapy Assn,114000
Emergent Biosolutions,113600
International Franchise Assn,113500
Abbott Laboratories,113246
Microsoft Corp,112735
AbbVie Inc,112006
CSX Corp,111800
Independent Community Bankers of America,110500
Poet LLC,109300
Jennmar Corp,109300
International Paper,109276
SAIC,108880
American Medical Assn,108600
Southern Glazer's Wine & Spirits,108175
National Chicken Council,108000
Alliance Coal,107883
American Assn of Nurse Anesthetists,107500
PNC Financial Services,107000
BNSF Railway,106500
Walmart Inc,105952
Deason Capital Services,105767
Aircraft Owners & Pilots Assn,105500
Duty Free Americas,102000
JPMorgan Chase & Co,100490
National Republican Congressional Cmte,100008
Dell Technologies,99848
Eli Lilly & Co,98793
S&B Engineers & Constructors,98783
DaVita Inc,98618
Cubic Corp,98500
TIAA,97000
UBS AG,96396
Chickasaw Nation,96275
State Farm Insurance,96173
Delaware North Companies,96110
CRH Americas,95550
National Turkey Federation,95500
Tuesday Group PAC,95000
Medquest Pharmacy,94100
House Conservatives Fund,94000
Jacobs Engineering Group,93650
Burns & McDonnell,93486
National Community Pharmacists Assn,92750
Poarch Band of Creek Indians,92600
Caterpillar Inc,92118
National Republican Senatorial Cmte,92000
Alphabet Inc,91814
Making America Prosperous,91000
Ball Corp,90002
American Kidney Stone Management,90000
American Financial Services Assn,89000
Williams Brothers Construction,88800
Ford Motor Co,88121
JW Childs Assoc,88100
Prudential Financial,87500
American Maritime Officers,87000
Phillips 66,87000
American Airlines Group,86829
National Rural Letter Carriers Assn,86000
"Akin, Gump et al",85925
American Hospital Assn,85500
Aspect Holdings,85065
Exelon Corp,84715
American Electric Power,84613
Carlyle Group,84460
LPL Financial,84050
Franklin Mountain Management,84000
Craig Realty Group,84000
Allstate Insurance,83702
Capital One Financial,83500
McKee Foods,82000
Pacific Life Insurance,81500
Duchossois Group,81000
Emerson Electric,80300
Parman Capital Group,78823
Ergon Inc,78800
WPP Group,78150
BWX Technologies,77750
National Pork Producers Council,77500
Enterprise Rent-A-Car,77200
Nustar Energy,77045
American Trucking Assns,77000
Texas Farm Bureau,76663
Merck & Co,76611
Show Me Institute,76147
Energy Marketers of America,76000
Copart Inc,75935
McKesson Corp,75739
SpaceX,75500
Spirit Aerosystems,75485
Intel Corp,75005
Citigroup Inc,74632
Silver Eagle Distributors,74608
FMR Corp,74454
S-3 Group,74425
Sanderson Farms,74400
Hunt Companies,73675
Acadia Healthcare,73575
American Financial Group,73440
MacAndrews & Forbes,73350
Edward Jones,73135
Dominion Energy,72800
American Airlines,71965
Sullivan & Cromwell,71800
Crop Insurance Professionals Assn,71000
Apollo Global Management,70735
CME Group,70500
Saulsbury Industries,70438
Centene Corp,70225
Jim Jordan for Congress,70000
Value in Electing Women PAC,70000
American Council of Life Insurers,69300
ClearPath Foundation,69200
Pinnacle West Capital,69060
Arizona Diamondbacks,68731
Crawford Group,68604
Alabama Farmers Federation,68500
American Assn/Oral & Maxillofacial Surg,68500
Fierce Government Relations,68300
Capitol Counsel,67998
Cinemark USA,67800
Parsons Corp,67800
Publix Super Markets,67307
Senegence International,67200
Edison Electric Institute,67000
Insperity,66775
Liberty Mutual Insurance,66500
Occidental Petroleum,66259
Ameren Corp,66200
Stewart Title Guaranty,65965
Ozarks Coca-Cola Bottling,65800
American Sugar Cane League,65500
National Assn of Letter Carriers,65500
Grimmway Enterprises,65482
"Maynard, Cooper & Gale",65200
Associated General Contractors,65000
Motorola Solutions,64723
US Anesthesia Partners,64596
American Property Casualty Insurance Assn,64000
National Shooting Sports Foundation,63760
Bain Capital,63100
Bingaman & Son Lumber,62754
MetLife Inc,62500
Supporting Electing American Leaders,62500
Harbinger Strategies,62150
Sutton Ventures Group,61800
Credit Suisse Group,61750
Bechtel Group,61616
National Confectioners Assn,61500
Bill Luke Chrysler/Jeep/Dodge,61200
Hunter Engineering,60800
Miller Strategies,60700
Avalon Advisors,60700
Northwestern Mutual,60465
National Rifle Assn,60150
Shutts & Bowen,60131
Plumbers/Pipefitters Union,60000
Devon Energy,59700
Citizens United,59500
Republican Main Street Partnership,59500
Johnson & Johnson,59096
Protecting Integrity & Truth Together PAC,58830
Elliott Management,58600
USA Rice Federation,58500
Crescent Capital Group,57950
Irving Moskowitz Foundation,57600
Huffines Communities,57400
Doggett Industries,57200
Third Point LLC,56708
Entergy Corp,56651
McNa Dental Plans,56626
CMS Energy,56555
Seemann Composites,56500
Spencer Enterprises,56200
Southwest Airlines Pilots Assn,56000
American Health Care Assn,56000
Fisher Investments,55900
Citadel LLC,55800
American College of Surgeons Prof Assn,55500
McWane Inc,55500
Ally Financial,55265
Advance Financial,55050
National Roofing Contractors Assn,55000
Vanguard Group,54500
Bollinger Shipyards,54499
Cerner Corp,54125
A10 Assoc,54099
DTE Energy,53927
Hilcorp Energy,53818
Huntington Bancshares,53000
Leonardo DRS,53000
Electing Majority Making Effective Republicans,53000
Pechanga Band of Luiseno Mission Indians,52800
Florida Crystals,52600
New Pioneers PAC,52500
Stewart & Stevenson,52400
McGuireWoods LLP,52300
Total Military Management,52300
H&R Block,52020
American Assn of Neurological Surgeons,52000
Reynolds American,52000
Oracle Corp,51967
Sempra Energy,51600
RIDA Development,51400
JM Family Enterprises,51150
Southwest Airlines,51076
Eastman Chemical,50830
Fraternity & Sorority PAC,50500
National Fuel Gas Co,50500
HJ Kalikow & Co,50200
Cowboy PAC,50100
Rain & Hail Insurance Society,50000
Asian American Hotel Owners Assn,50000
Rely on Your Beliefs,50000
E-PAC,50000
Yancey Brothers,49800
Melaleuca Inc,49648
Hubbard Broadcasting,49250
Putnam Investments,49200
Accenture,48834
Southern Waste Systems,48600
Owner-Operator Independent Drivers Assn,48500
Waypoint Consulting,48250
Bristol-Myers Squibb,48100
"Gibson, Dunn & Crutcher",48050
JAT Capital Partners,47800
Telapex Inc,47780
Hager Pacific Properties,47600
COLE PAC,47500
Total Quality Logistics,47400
Bluewater International,47200
MIDDLETON OIL CO,47000
California Resources Corp,46895
Sierra Pacific Industries,46865
AG Spanos Companies,46800
Hoosier Racing Tire,46600
Building Leadership & Inspiring New Enterprise,46500
Greater Tomorrow PAC,46000
BASF Corp,45835
US Government,45820
Woodvine Group,45800
National Assn of Spine Specialists,45500
Michigan Sugar,45500
Yocha Dehe Wintun Nation,45500
National Restaurant Assn,45500
Oshkosh Corp,45500
Steptoe & Johnson,45018
American Society of Plastic Surgeons,45000
WAXAHACHIE ASSOC,45000
Textron Inc,45000
National Community Action Foundation,45000
Case New Holland,45000
Haworth Inc,44800
Briar Hill Management,44800
Heartland Dental Care,44715
Bartlett Grain,44700
Pharmaceutical Research & Manufacturers of America,44600
Cooper & Kirk,44600
Island Doctors,44600
Edward C Levy Co,44600
Rothman Institute,44550
Safari Club International,44500
Hudson River Trading,44100
Weyerhaeuser Co,44000
Specialty Equipment Market Assn,44000
Entrepreneurial Corporate Group,43600
Nueterra Capital,43600
National Active & Retired Federal Employees Assn,43500
Southern Cotton Growers Inc,43500
Stephens Inc,43427
Atrium Health,43390
Fresenius Medical Care,43236
Pbf Energy,43160
Federated Investors Inc,43100
Visa Inc,43000
Asphalt & Fuel Supply,43000
National Assn of Health Underwriters,43000
"Nelson, Mullins et al",42750
