open_secrets_id,full_name,first_name,last_name,state,chamber,top_donors_link,website,twitter,facebook,instagram,youtube,picture
N00003028,Robert B. Aderholt,Robert,Aderholt,Ala.,House ,https://www.opensecrets.org/members-of-congress/robert-aderholt/contributors?cid=N00003028&cycle=2020&recs=100&type=C,aderholt.house.gov,Robert_Aderholt,robert.aderholt1,robert_aderholt,UC71CAgpg1gbLTew_pfTneGA,robert_b._aderholt.png
N00030910,Mo Brooks,Mo,Brooks,Ala.,House ,https://www.opensecrets.org/members-of-congress/mo-brooks/contributors?cid=N00030910&cycle=2020&recs=100&type=C,brooks.house.gov,RepMoBrooks,mobrooksforcongress,,UCgsPSY0MpuQJq8vEqYUSt-g,mo_brooks.png
,Jerry Carl,Jerry,Carl,Ala.,House ,,jerrycarlforcongress.com,carlforalabama,JerryCarlForCongress/,,,jerry_carl.png
,Barry Moore,Barry,Moore,Ala.,House ,,barrymooreforcongress.com,RepBarryMoore,FBarryMoore,,,barry_moore.png
N00035691,Gary Palmer,Gary,Palmer,Ala.,House ,https://www.opensecrets.org/members-of-congress/gary-palmer/contributors?cid=N00035691&cycle=2020&recs=100&type=C,palmer.house.gov,Palmer4Alabama,PalmerforAlabama,repgarypalmer,UCYZfP-cNIvlJY3AcAc9OPpQ,gary_palmer.png
N00024759,Mike Rogers,Mike,Rogers,Ala.,House ,https://www.opensecrets.org/members-of-congress/mike-rogers/contributors?cid=N00024759&cycle=2020&recs=100&type=C,mikerogers.house.gov,MikeRogersCamp,CongressmanMikeDRogers,repmikerogersal,MikeRogersAL03,mike_rogers.png
N00039293,Andy Biggs,Andy,Biggs,Ariz.,House ,https://www.opensecrets.org/members-of-congress/andy-biggs/contributors?cid=N00039293&cycle=2020&recs=100&type=C,biggs.house.gov,RepAndyBiggsAZ,RepAndyBiggs,repandybiggs,UCqSq9kWOxk9yNTeILBCVC1w,andy_biggs.png
N00030771,Paul Gosar,Paul,Gosar,Ariz.,House ,https://www.opensecrets.org/members-of-congress/paul-gosar/contributors?cid=N00030771&cycle=2020&recs=100&type=C,gosar.house.gov,RepGosar,repgosar,repgosar,repgosar,paul_gosar.png
N00042056,Debbie Lesko,Debbie,Lesko,Ariz.,House ,https://www.opensecrets.org/members-of-congress/debbie-lesko/contributors?cid=N00042056&cycle=2020&recs=100&type=C,lesko.house.gov,RepDLesko,RepDebbieLesko,replesko,,debbie_lesko.png
N00006460,David Schweikert,David,Schweikert,Ariz.,House ,https://www.opensecrets.org/members-of-congress/david-schweikert/contributors?cid=N00006460&cycle=2020&recs=100&type=C,schweikert.house.gov,DavidSchweikert,repdavidschweikert,repdavid,UCVvuNVzkOUp7p_Pzkc6Zuvw,david_schweikert.png
N00030770,Rick Crawford,Rick,Crawford,Ark.,House ,https://www.opensecrets.org/members-of-congress/rick-crawford/contributors?cid=N00030770&cycle=2020&recs=100&type=C,crawford.house.gov,Crawford4Cong,,reprickcrawford,RepRickCrawford,rick_crawford.png
N00007099,Ken Calvert,Ken,Calvert,Calif.,House ,https://www.opensecrets.org/members-of-congress/ken-calvert/contributors?cid=N00007099&cycle=2020&recs=100&type=C,calvert.house.gov,KenCalvert,RepKenCalvert,repkencalvert,,ken_calvert.png
N00044298,Mike Garcia,Mike,Garcia,Calif.,House ,https://www.opensecrets.org/members-of-congress/mike-garcia/contributors?cid=N00044298&cycle=2020&recs=100&type=C,mikegarcia.house.gov,MikeGarcia2020,electmikegarcia,repmikegarcia,UCrA_21xJELV7gy63BfhBi4g,mike_garcia.png
N00007017,Darrell Issa,Darrell,Issa,Calif.,House ,https://www.opensecrets.org/members-of-congress/darrell-issa/contributors?cid=N00007017&cycle=2020&recs=100&type=C,issa.house.gov,DarrellIssa,darrellissa,darrellissa,,darrell_issa.png
N00033987,Doug LaMalfa,Doug,LaMalfa,Calif.,House ,https://www.opensecrets.org/members-of-congress/doug-lamalfa/contributors?cid=N00033987&cycle=2020&recs=100&type=C,lamalfa.house.gov,RepLaMalfa,RepLaMalfa,repdouglamalfa,RepLaMalfa,doug_lamalfa.png
N00028152,Kevin McCarthy,Kevin,McCarthy,Calif.,House ,https://www.opensecrets.org/members-of-congress/kevin-mccarthy/contributors?cid=N00028152&cycle=2020&recs=100&type=C,republicanleader.gov,kevinomccarthy,RepKevinMcCarthy,repkevinmccarthy,,kevin_mccarthy.png
N00007248,Devin Nunes,Devin,Nunes,Calif.,House ,https://www.opensecrets.org/members-of-congress/devin-nunes/contributors?cid=N00007248&cycle=2020&recs=100&type=C,nunes.house.gov,DevinNunes,Congressman-Devin-Nunes-376470350795,realdevinnunes,UCtbArL6CmOfFqgmpuRjLp3w,devin_nunes.png
,Jay Obernolte,Jay,Obernolte,Calif.,House ,,electjay.com,JayObernolte,AssemblymanObernolte,assemblymanjayobernolte,,jay_obernolte.png
,Lauren Boebert,Lauren,Boebert,Colo.,House ,,laurenforcolorado.com,laurenboebert,laurenboebert,,,lauren_boebert.png
N00028133,Doug Lamborn,Doug,Lamborn,Colo.,House ,https://www.opensecrets.org/members-of-congress/doug-lamborn/contributors?cid=N00028133&cycle=2020&recs=100&type=C,lamborn.house.gov,DougLambornCD5,lambornforcongress,douglamborn,UCaYsGYMniq4nwBBMKFIwsow,doug_lamborn.png
,Kat Cammack,Kat,Cammack,Fla.,House ,,cammack.house.gov,kat_cammack,KatCammack,,,kat_cammack.png
N00025337,Mario Diaz-Balart,Mario,Diaz-Balart,Fla.,House ,https://www.opensecrets.org/members-of-congress/mario-diaz-balart/contributors?cid=N00025337&cycle=2020&recs=100&type=C,mariodiazbalart.house.gov,MarioDBCamp,mdiazbalart,repmariodb,,mario_diaz-balart.png
,Byron Donalds,Byron,Donalds,Fla.,House ,,byrondonalds.com,ByronDonalds,bdonalds,byrondonalds,UCbM4VTXl9Pd6zus08vS26Cg,byron_donalds.png
